T,µB,µQ,µS,p/T^4,s/T^3,nB/T^3,nS/T^3,nQ/T^3,ε/T^4,cs2,chiBB/T^2,chiQQ/T^2,chiSS/T^2,chiBQ/T^2,chiBS/T^2,chiQS/T^2,chiTB/T^2,chiTQ/T^2,chiTS/T^2,chiTT/T^2
5,-200,-800,-400,6.27285120e+07,2.09801007e+05,-1.69473246e+06,-5.36128864e+05,-3.94281576e+06,6.79011418e+08,9.81928279e-02,6.38044562e+04,2.13865680e+05,9.80580257e+04,8.90611359e+04,-3.44698344e+04,3.44698534e+04,-1.88397029e+03,-6.69801219e+03,-2.83768723e+03,2.09613431e+05
5,-200,-800,-200,6.09241914e+07,1.69075259e+05,-1.88296996e+06,-8.05891493e-20,-3.75457824e+06,6.15296200e+08,1.03734548e-01,5.14225953e+04,2.01483800e+05,8.05894112e-20,1.01442997e+05,-2.61916459e-25,8.05873019e-20,-2.93306484e+03,-5.64868798e+03,-4.19931382e-18,1.68949959e+05
5,-200,-800,0,6.09241914e+07,1.69075259e+05,-1.88296996e+06,-4.68249118e-06,-3.75457824e+06,6.15296200e+08,1.03734548e-01,5.14225953e+04,2.01483800e+05,4.68249123e-06,1.01442997e+05,-1.66202707e-14,4.68249120e-06,-2.93306484e+03,-5.64868807e+03,-9.32305130e-05,1.68949961e+05
5,-200,-800,200,6.09263162e+07,1.71407973e+05,-1.88438543e+06,1.41546639e+03,-3.75599370e+06,6.15636120e+08,1.03687134e-01,5.21390701e+04,2.02200275e+05,7.16474783e+02,1.02159472e+05,-7.16474783e+02,-7.16474783e+02,-3.55399619e+03,-6.26961933e+03,6.20931352e+02,1.71172235e+05
5,-200,-800,400,6.27101488e+07,1.90018111e+05,-1.99720589e+06,1.14235934e+05,-3.86881417e+06,6.45517247e+08,1.01915885e-01,5.78182962e+04,2.07879501e+05,6.39570089e+03,1.07838698e+05,-6.39570089e+03,-6.39570089e+03,-4.57809912e+03,-7.29372227e+03,1.64503428e+03,1.89338132e+05
5,-200,-800,600,7.59962763e+07,2.45292727e+05,-2.53035716e+06,6.75970861e+05,-4.37338177e+06,8.06320889e+08,1.00708506e-01,7.46145184e+04,2.21999975e+05,3.12191678e+04,1.21959172e+05,-2.58676713e+04,-2.05161749e+04,-5.60320463e+03,-8.00900168e+03,2.97996587e+03,2.44746535e+05
5,-200,-800,800,1.60180919e+08,5.67716998e+05,-5.58535643e+06,5.29820222e+06,-5.86114895e+06,1.84929724e+09,9.14581889e-02,1.72700555e+05,2.84085253e+05,3.14956379e+05,1.64632225e+05,-1.79366691e+05,-4.37770029e+04,-1.32615727e+04,-1.24998391e+04,1.38058647e+04,5.65878171e+05
5,-200,-600,-800,1.23837881e+09,1.34689743e+06,2.48219505e+07,-7.12725825e+07,-2.52714561e+07,1.22062780e+10,1.20747146e-01,4.05481483e+05,4.26360455e+05,3.13916390e+06,-3.80170825e+05,-1.10488604e+06,1.10045436e+06,1.25819806e+04,-1.54974826e+04,-3.48169079e+04,1.34166490e+06
5,-200,-600,-600,7.51651258e+07,1.99688671e+05,2.05274697e+06,-6.38198587e+06,-2.53013450e+06,9.12379127e+08,1.02876257e-01,6.07065912e+04,8.33415198e+04,4.19363646e+05,-3.80716815e+04,-1.47666671e+05,1.47666690e+05,2.21974864e+03,-3.66622032e+03,-6.89281710e+03,2.00295135e+05
5,-200,-600,-400,2.08986947e+06,2.48213892e+04,-1.59129167e+05,-2.38825199e-03,-3.18258337e+05,4.24911192e+07,7.54769438e-02,7.54497068e+03,3.01798803e+04,7.16382336e-03,1.50899390e+04,-2.38781672e-03,2.38781672e-03,-4.82067936e+02,-9.64174067e+02,-3.82039323e-02,2.48136488e+04
