T[MeV],muB[MeV],muS[MeV],muQ[MeV],nB[1/fm^3],nS[1/fm^3],nQ[1/fm^3],Q/B,e[MeV/fm^3],s[1/fm^3],s/nB,chi2,chi2/N_dof
137.0000000000,24.00001000,0.00000000,-5.00000000,2.099345e-03,-2.541582e-11,-2.419207e-03,-1.152363e+00,1.545655e+02,1.358658e+00,6.471815e+02,6.573791,1.643448
137.0000000000,24.00001000,0.00000000,-4.00000000,2.148227e-03,-9.950043e-12,-1.700771e-03,-7.917093e-01,1.545608e+02,1.358638e+00,6.324463e+02,6.119641,1.529910
137.0000000000,24.00001000,0.00000000,-3.00000000,2.197189e-03,-3.058452e-12,-9.824661e-04,-4.471469e-01,1.545599e+02,1.358642e+00,6.183546e+02,5.816704,1.454176
137.0000000000,24.00001000,0.00000000,-2.00000000,2.246235e-03,-5.959479e-13,-2.642277e-04,-1.176314e-01,1.545629e+02,1.358668e+00,6.048644e+02,5.659791,1.414948
137.0000000000,24.00001000,0.00000000,-1.00000000,2.295372e-03,-1.657947e-14,4.540071e-04,1.977924e-01,1.545696e+02,1.358716e+00,5.919373e+02,5.643857,1.410964
137.0000000000,24.00001000,0.00000000,0.00000000,2.344604e-03,1.252681e-14,1.172302e-03,5.000000e-01,1.545802e+02,1.358787e+00,5.795382e+02,5.764010,1.441003
137.0000000000,24.00001000,0.00000000,1.00000000,2.393936e-03,-3.080355e-15,1.890720e-03,7.897956e-01,1.545946e+02,1.358881e+00,5.676347e+02,6.015496,1.503874
137.0000000000,24.00001000,0.00000000,2.00000000,2.443374e-03,-1.210657e-12,2.609325e-03,1.067919e+00,1.546127e+02,1.358997e+00,5.561970e+02,6.393702,1.598426
137.0000000000,24.00001000,0.00000000,3.00000000,2.492922e-03,2.802689e-14,3.328180e-03,1.335052e+00,1.546347e+02,1.359136e+00,5.451979e+02,6.894149,1.723537
137.0000000000,24.00001000,0.00000000,4.00000000,2.542587e-03,4.146893e-13,4.047349e-03,1.591823e+00,1.546606e+02,1.359298e+00,5.346120e+02,7.512488,1.878122
137.0000000000,25.00001000,0.00000000,-7.00000000,2.100131e-03,-1.118295e-10,-3.808007e-03,-1.813223e+00,1.546081e+02,1.358908e+00,6.470584e+02,7.791723,1.947931
137.0000000000,25.00001000,0.00000000,-6.00000000,2.148897e-03,-5.721512e-11,-3.089050e-03,-1.437505e+00,1.545963e+02,1.358847e+00,6.323460e+02,7.078923,1.769731
137.0000000000,25.00001000,0.00000000,-5.00000000,2.197737e-03,-2.625416e-11,-2.370346e-03,-1.078539e+00,1.545883e+02,1.358809e+00,6.182761e+02,6.525698,1.631424
137.0000000000,25.00001000,0.00000000,-4.00000000,2.246656e-03,-1.032264e-11,-1.651831e-03,-7.352400e-01,1.545842e+02,1.358793e+00,6.048068e+02,6.126624,1.531656
137.0000000000,25.00001000,0.00000000,-3.00000000,2.295658e-03,-3.187837e-12,-9.334416e-04,-4.066117e-01,1.545838e+02,1.358800e+00,5.918997e+02,5.876438,1.469109
137.0000000000,25.00001000,0.00000000,-2.00000000,2.344750e-03,-6.214268e-13,-2.151136e-04,-9.174266e-02,1.545873e+02,1.358829e+00,5.795198e+02,5.770026,1.442506
137.0000000000,25.00001000,0.00000000,-1.00000000,2.393936e-03,-1.313423e-14,5.032160e-04,2.102044e-01,1.545946e+02,1.358881e+00,5.676347e+02,5.802424,1.450606
137.0000000000,25.00001000,0.00000000,0.00000000,2.443221e-03,1.542597e-14,1.221611e-03,5.000000e-01,1.546056e+02,1.358956e+00,5.562147e+02,5.968814,1.492203
137.0000000000,25.00001000,0.00000000,1.00000000,2.492611e-03,-3.777874e-15,1.940134e-03,7.783540e-01,1.546205e+02,1.359053e+00,5.452325e+02,6.264514,1.566128
137.0000000000,25.00001000,0.00000000,2.00000000,2.542111e-03,-1.828385e-11,2.658849e-03,1.045922e+00,1.546393e+02,1.359172e+00,5.346629e+02,6.684981,1.671245
137.0000000000,25.00001000,0.00000000,3.00000000,2.591726e-03,2.113315e-14,3.377820e-03,1.303309e+00,1.546618e+02,1.359315e+00,5.244825e+02,7.225805,1.806451
137.0000000000,25.00001000,0.00000000,4.00000000,2.641461e-03,3.621914e-13,4.097109e-03,1.551077e+00,1.546881e+02,1.359480e+00,5.146696e+02,7.882701,1.970675
137.0000000000,26.00001000,0.00000000,-7.00000000,2.198560e-03,-1.147502e-10,-3.759262e-03,-1.709874e+00,1.546309e+02,1.359059e+00,6.181585e+02,7.681917,1.920479
137.0000000000,26.00001000,0.00000000,-6.00000000,2.247357e-03,-5.887804e-11,-3.040232e-03,-1.352803e+00,1.546197e+02,1.359001e+00,6.047109e+02,7.026764,1.756691
137.0000000000,26.00001000,0.00000000,-5.00000000,2.296231e-03,-2.711125e-11,-2.321450e-03,-1.010982e+00,1.546122e+02,1.358966e+00,5.918247e+02,6.528770,1.632192
137.0000000000,26.00001000,0.00000000,-4.00000000,2.345189e-03,-1.070383e-11,-1.602851e-03,-6.834636e-01,1.546086e+02,1.358954e+00,5.794646e+02,6.182596,1.545649
137.0000000000,26.00001000,0.00000000,-3.00000000,2.394235e-03,-3.319890e-12,-8.843729e-04,-3.693760e-01,1.546088e+02,1.358964e+00,5.675987e+02,5.983058,1.495764
137.0000000000,26.00001000,0.00000000,-2.00000000,2.443374e-03,-6.467835e-13,-1.659512e-04,-6.791885e-02,1.546127e+02,1.358997e+00,5.561970e+02,5.925119,1.481280
137.0000000000,26.00001000,0.00000000,-1.00000000,2.492611e-03,-8.790384e-15,5.524774e-04,2.216460e-01,1.546205e+02,1.359053e+00,5.452325e+02,6.003892,1.500973
