#         pdgid       name            stable      mass[GeV]      degeneracy      statistics      B      Q      S      C      |S|      |C|      width[GeV]      threshold[GeV]
          10321       K0*(1430)+      0           1.42500        1              -1               0      1      1      0      1        0        0.270000        0
            315       K2*(1430)0      0           1.42700        5              -1               0      0      1      0      1        0        0.104000        0
            325       K2*(1430)+      0           1.42700        5              -1               0      1      1      0      1        0        0.104000        0
         100311       K(1460)0        0           1.44700        1              -1               0      0      1      0      1        0        0.282000        0
         100321       K(1460)+        0           1.44700        1              -1               0      1      1      0      1        0        0.282000        0
        9000315       K2(1580)0       0           1.58000        5              -1               0      0      1      0      1        0        0.110000        0
        9000325       K2(1580)+       0           1.58000        5              -1               0      1      1      0      1        0        0.110000        0
        7010313       K(1630)0        0           1.62900        3              -1               0      0      1      0      1        0        0.016000        0
        7010323       K(1630)+        0           1.62900        3              -1               0      1      1      0      1        0        0.016000        0
        9000313       K1(1650)0       0           1.67200        3              -1               0      0      1      0      1        0        0.158000        0
        9000323       K1(1650)+       0           1.67200        3              -1               0      1      1      0      1        0        0.158000        0
          30313       K*(1680)0       0           1.71800        3              -1               0      0      1      0      1        0        0.322000        0
          30323       K*(1680)+       0           1.71800        3              -1               0      1      1      0      1        0        0.322000        0
          10315       K2(1770)0       0           1.77300        5              -1               0      0      1      0      1        0        0.186000        0
          10325       K2(1770)+       0           1.77300        5              -1               0      1      1      0      1        0        0.186000        0
            317       K3*(1780)0      0           1.77900        7              -1               0      0      1      0      1        0        0.161000        0
            327       K3*(1780)+      0           1.77900        7              -1               0      1      1      0      1        0        0.161000        0
          20315       K2(1820)0       0           1.81900        5              -1               0      0      1      0      1        0        0.264000        0
          20325       K2(1820)+       0           1.81900        5              -1               0      1      1      0      1        0        0.264000        0
        9010311       K(1830)0        0           1.87400        1              -1               0      0      1      0      1        0        0.168000        0
        9010321       K(1830)+        0           1.87400        1              -1               0      1      1      0      1        0        0.168000        0
        9020311       K0*(1950)0      0           1.94500        1              -1               0      0      1      0      1        0        0.201000        0
        9020321       K0*(1950)+      0           1.94500        1              -1               0      1      1      0      1        0        0.201000        0
        9010315       K2*(1980)0      0           1.99500        5              -1               0      0      1      0      1        0        0.349000        0
        9010325       K2*(1980)+      0           1.99500        5              -1               0      1      1      0      1        0        0.349000        0
            319       K4*(2045)0      0           2.25000        9              -1               0      0      1      0      1        0        0.199000        0
            329       K4*(2045)+      0           2.25000        9              -1               0      1      1      0      1        0        0.199000        0
        9020315       K2(2250)0       0           2.24700        5              -1               0      0      1      0      1        0        0.180000        0
        9020325       K2(2250)+       0           2.24700        5              -1               0      1      1      0      1        0        0.180000        0
        9010317       K3(2320)0       0           2.32400        7              -1               0      0      1      0      1        0        0.150000        0
        9010327       K3(2320)+       0           2.32400        7              -1               0      1      1      0      1        0        0.150000        0
        8200317       K5*(2380)0      0           2.38200        11             -1               0      0      1      0      1        0        0.178000        0
        8200327       K5*(2380)+      0           2.38200        11             -1               0      1      1      0      1        0        0.178000        0
        9000319       K4(2500)0       0           2.49000        9              -1               0      0      1      0      1        0        0.250000        0
        9000329       K4(2500)+       0           2.49000        9              -1               0      1      1      0      1        0        0.250000        0
           2112       N0              1           0.93800        2               1               1      0      0      0      0        0        0.000000        0
           2212       N+              1           0.93800        2               1               1      1      0      0      0        0        0.000000        0
          12112       N(1440)0        0           1.44000        2               1               1      0      0      0      0        0        0.350000        0
          12212       N(1440)+        0           1.44000        2               1               1      1      0      0      0        0        0.350000        0
           1214       N(1520)0        0           1.51500        4               1               1      0      0      0      0        0        0.110000        0
           2124       N(1520)+        0           1.51500        4               1               1      1      0      0      0        0        0.110000        0
          22112       N(1535)0        0           1.53000        2               1               1      0      0      0      0        0        0.150000        0
          22212       N(1535)+        0           1.53000        2               1               1      1      0      0      0        0        0.150000        0
          32112       N(1650)0        0           1.65000        2               1               1      0      0      0      0        0        0.125000        0
          32212       N(1650)+        0           1.65000        2               1               1      1      0      0      0        0        0.125000        0
           2116       N(1675)0        0           1.67500        6               1               1      0      0      0      0        0        0.145000        0
           2216       N(1675)+        0           1.67500        6               1               1      1      0      0      0        0        0.145000        0
          12116       N(1680)0        0           1.68500        6               1               1      0      0      0      0        0        0.120000        0
          12216       N(1680)+        0           1.68500        6               1               1      1      0      0      0        0        0.120000        0
          21214       N(1700)0        0           1.72000        4               1               1      0      0      0      0        0        0.200000        0
          22124       N(1700)+        0           1.72000        4               1               1      1      0      0      0        0        0.200000        0
          42112       N(1710)0        0           1.71000        2               1               1      0      0      0      0        0        0.140000        0
          42212       N(1710)+        0           1.71000        2               1               1      1      0      0      0        0        0.140000        0
          31214       N(1720)0        0           1.72000        4               1               1      0      0      0      0        0        0.250000        0
          32124       N(1720)+        0           1.72000        4               1               1      1      0      0      0        0        0.250000        0
        9822116       N(1860)0        0           1.89000        6               1               1      0      0      0      0        0        0.247000        0
        9822216       N(1860)+        0           1.89000        6               1               1      1      0      0      0        0        0.247000        0
        9811214       N(1875)0        0           1.87500        4               1               1      0      0      0      0        0        0.200000        0
        9812124       N(1875)+        0           1.87500        4               1               1      1      0      0      0        0        0.200000        0
        9852112       N(1880)0        0           1.88000        2               1               1      0      0      0      0        0        0.300000        0
        9852212       N(1880)+        0           1.88000        2               1               1      1      0      0      0        0        0.300000        0
        9862112       N(1895)0        0           1.89500        2               1               1      0      0      0      0        0        0.120000        0
        9862212       N(1895)+        0           1.89500        2               1               1      1      0      0      0        0        0.120000        0
        9841214       N(1900)0        0           1.92000        4               1               1      0      0      0      0        0        0.200000        0
        9842124       N(1900)+        0           1.92000        4               1               1      1      0      0      0        0        0.200000        0
